"PO","Vendor","Ordered On","Ship to location","Window Type","Window Start","Window End","Total Cases","Total Cost"
"6XUV5GNM","WP1A4","05/14/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/14/2020","05/19/2020","1","2752"
"6T3L2SAZ","WP1A4","05/14/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","05/14/2020","05/19/2020","8","7956"
"6FTHP8TV","WP1A4","05/14/2020","HND9 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/14/2020","05/19/2020","9","18804"
"2991LYCR","WP1A4","05/14/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","05/14/2020","05/19/2020","8","8816"
"1FEMTAEA","WP1A4","05/14/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","05/14/2020","05/19/2020","5","5689"
"8FLRCICZ","WP1A4","05/14/2020","TPF3 - Takatsuki-shi, Osaka","Delivery window (Prepaid)","05/14/2020","05/19/2020","1","999"
"5U5U1DQV","2UQ7Z","05/14/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/14/2020","05/19/2020","11","20023"
"5D78GLKN","2UQ7Z","05/14/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","05/14/2020","05/19/2020","12","37264"
"5RZBAHFD","2UQ7Z","05/14/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/14/2020","05/19/2020","11","212879"
"5R8BJT8X","2UQ7Z","05/14/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/14/2020","05/19/2020","4","8042"
"59N9HV9G","2UQ7Z","05/14/2020","VJNB - Kobe-Shi, Hyogo","Delivery window (Prepaid)","05/14/2020","05/19/2020","3","44550"
"23WVOFBQ","WP1A4","05/13/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/13/2020","05/18/2020","3","5256"
"87PA9FQQ","WP1A4","05/13/2020","FSZ1 - Odawara-shi, Kanagawa","Delivery window (Prepaid)","05/13/2020","05/18/2020","1","386"
"8P54F3NB","WP1A4","05/13/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/13/2020","05/18/2020","4","4154"
"8XB5K7AP","WP1A4","05/13/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","05/13/2020","05/18/2020","1","386"
"8L4T33HU","WP1A4","05/13/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","05/13/2020","05/18/2020","1","386"
"36NCHO1A","WP1A4","05/13/2020","VJNC - Higashiosaka, Osaka","Delivery window (Prepaid)","05/13/2020","05/18/2020","1","1095"
"86BWI3AE","2UQ7Z","05/13/2020","VJNB - Kobe-Shi, Hyogo","Delivery window (Prepaid)","05/13/2020","05/18/2020","4","59400"
"8EQXS7DM","2UQ7Z","05/12/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/12/2020","05/15/2020","5","29025"
"328USVVT","2UQ7Z","05/11/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/11/2020","05/14/2020","5","9040"
"6WTMM9KT","2UQ7Z","05/11/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/11/2020","05/14/2020","2","18368"
"31RQZF9N","2UQ7Z","05/11/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/11/2020","05/14/2020","12","34409"
"8CKYGISZ","2UQ7Z","05/11/2020","TPFA - Noda, Chiba","Delivery window (Prepaid)","05/11/2020","05/14/2020","1","148500"
"5L1U641W","2UQ7Z","05/11/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/11/2020","05/14/2020","24","61175"
"1IY6XE1L","2UQ7Z","05/08/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","05/08/2020","05/13/2020","3","12467"
"3C5FK84C","2UQ7Z","05/08/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/08/2020","05/13/2020","4","19936"
"65SQ7E3L","2UQ7Z","05/08/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/08/2020","05/13/2020","15","62563"
"2IMV7D7T","2UQ7Z","05/08/2020","HND9 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/08/2020","05/13/2020","1","4984"
"2OCLGS2M","2UQ7Z","05/08/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","05/08/2020","05/13/2020","18","89712"
"6N38OCTT","2UQ7Z","05/08/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/08/2020","05/13/2020","11","54824"
"6XV168IC","2UQ7Z","05/08/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","05/08/2020","05/13/2020","1","4984"
"5MPYL35E","WP1A4","05/08/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/08/2020","05/13/2020","4","11999"
"6EB38W5C","2UQ7Z","05/07/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/07/2020","05/12/2020","43","203966"
