"PO","取引業者コード","","配送センター","ウィンドウの種類","ウィンドウ開始日","ウィンドウ終了日","総ケース数","総額"
"4N568DDR","WP1A4","2020/05/25","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","7","6467"
"4MD6HP6L","WP1A4","2020/05/25","TPF6 - 印西市, 千葉県","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","4","20319"
"4JFN15NN","WP1A4","2020/05/25","TPFB - 伊勢原市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","21","68584"
"4ICV5OZE","WP1A4","2020/05/25","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","3","4149"
"4FQ4SWXJ","WP1A4","2020/05/25","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","8","13068"
"494355PH","WP1A4","2020/05/25","KIX3 - 茨木市, Osaka","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","11","14573"
"2XPWYF8Y","WP1A4","2020/05/25","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","1","4841"
"2RUV1B7C","WP1A4","2020/05/25","VJNA - 柏市, 千葉県","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","1","5874"
"2Q14F7CN","WP1A4","2020/05/25","NRT1 - 市川市, Chiba","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","18","34164"
"2N3KXMTP","WP1A4","2020/05/25","HND9 - 川崎市, 神奈川県","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","3","4985"
"2MBL7YMJ","WP1A4","2020/05/25","NGO2 - 多治見市, Gifu","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","5","13490"
"2ELRNQQY","WP1A4","2020/05/25","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","2","5755"
"2CR12MVJ","WP1A4","2020/05/25","TPF4 - 稲沢市, Aichi","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","1","4841"
"27YPYYIW","WP1A4","2020/05/25","KIX2 - 大東市, Osaka","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","3","10458"
"264YDUNH","WP1A4","2020/05/25","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","10","19004"
"22FG6MXD","WP1A4","2020/05/25","TYO1 - 川口市, 埼玉県","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","11","21943"
"6NFKUEIU","2UQ7Z","2020/05/25","KIX2 - 大東市, Osaka","着荷ウィンドウ (元払い)","2020/05/25","2020/05/28","1","12736"
"395TCYPN","WP1A4","2020/05/22","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","3","2420"
"5WKSF3MU","WP1A4","2020/05/22","TPF4 - 稲沢市, Aichi","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","1","4970"
"5SPXJ6QN","WP1A4","2020/05/22","VJNA - 柏市, 千葉県","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","1","1095"
"8QLZ2ZYX","WP1A4","2020/05/22","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","10","13265"
"7E8ACC1A","WP1A4","2020/05/22","FSZ1 - 小田原市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","3","3933"
"6V92PK3L","WP1A4","2020/05/22","TPF2 - 比企郡, Saitama","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","1","4592"
"5TSWYFMQ","WP1A4","2020/05/22","NGO2 - 多治見市, Gifu","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","4","3457"
"7Z1YCTBJ","WP1A4","2020/05/22","TYO1 - 川口市, 埼玉県","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","9","12165"
"7G8L6XAM","WP1A4","2020/05/22","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","11","12299"
"6FTFM4BP","WP1A4","2020/05/22","HND9 - 川崎市, 神奈川県","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","10","18983"
"4PDLSDKK","WP1A4","2020/05/22","TPFB - 伊勢原市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","9","37426"
"1CKIBI1E","WP1A4","2020/05/22","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","9","11303"
"1EF9WLVT","WP1A4","2020/05/22","NRT1 - 市川市, Chiba","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","16","26090"
"4Z3MESLK","WP1A4","2020/05/22","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","4","3336"
"4L2JBKXA","WP1A4","2020/05/22","TPF6 - 印西市, 千葉県","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","2","7722"
"3TYIDGZW","WP1A4","2020/05/22","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","1","2292"
"2F8PG8CC","WP1A4","2020/05/22","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","7","6475"
"3EUNESOD","WP1A4","2020/05/22","VJNC - 東大阪市, 大阪府","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","2","10466"
"6CQKGUMO","2UQ7Z","2020/05/22","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","102","349628"
"677ANJ2V","2UQ7Z","2020/05/22","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","2","45150"
"73L5VCUL","2UQ7Z","2020/05/22","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","1","9472"
"5I99JAUY","2UQ7Z","2020/05/22","TPFB - 伊勢原市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","8","97860"
